1,Comment dit-on "Bonjour" en anglais ?,Hello
1,Comment dit-on "Voiture" en anglais ?,Car
2,Que signifie "thank you" en français ?,Merci
2,Quel mot anglais signifie "livre" ?,Book
2,Comment dit-on "Noël" en anglais ?,Christmas
2,Comment dit-on "école" en anglais ?,School
3,Quelle est la bonne phrase pour donner son âge en anglais ? A - I'm 10 years old  B - I eat 10 years old  C - I have a 10 years old,A
3,Donnez une réponse juste : How are you ? A - I'm fine. B - A pizza please. C - You can be do what you want to do,A
3,Combien de lettres contient l'alphabet anglais ? A - 20  B - 24  C - 26  D - 27,C
3,Quel mot n'est pas anglais ? A - Name  B - Sugar  C - Kerywan  D - Player,C
3,Quel mot n'est pas anglais ? A - Bastary  B - Chocolate  C - Tree  D - Bread,A
1,Comment dit-on "tu" en anglais ?,You
