1,Quelles sont les années de début et de fin de la 2nde Guerre Mondiale ? (répondre au format XXXX-XXXX),1939-1945
1,Quel est la date de la fête nationale en France ? (répondre au format XX mois),14 juillet
1,Quel jour était l'armistice de la 1ere Guerre Mondiale ? (répondre au format XX mois) ,11 novembre
1,Quel est le nom de famille du président actuel de la France ?,Macron
2,Qui était le roi de France pendant la révolution française ? (répondre avec les chiffres romains) ,Louis XVI
2,Quelle célèbre exploratrice tente d'arrêter les méfaits de Chippeur avec son ami Babouche?,Dora
2,En quelle année Christophe Colomb a découvert l'Amérique ?,1492
3,Qu'est-ce que le polythéisme ? A - Croire en un seul dieu | B - Croire en plusieurs dieux,B
3,Qui était un empereur romain ? A - Jules César | B - Vercingetorix | C - Pierre Mathius,A
3,Qui était un empereur français ? A - Emmanuel Macron | B - Napoléon Bonaparte | C - Henry IV,B
3,Quelle affirmation est fausse ? A - La France est une République | B - La 2nde Guerre Mondiale s'est terminée en 1955 | C - Nous sommes à l'Epoque Contemporaine,B
